transcription_factor	tissue	motif.pval	open.pval	motif.median_diff	open.median_diff
NR5A2	Breast	2.85e-45	3.25e-05	5.09	4.32
NRF1	Blood	6.03e-24	1.36e-14	3.659	3.133
NRF1	BoneMarrow	3.21e-42	3.14e-06	0.11	0.068
NRF1	Brain	7.3e-32	2.11e-08	4.475	2.041
NRF1	Breast	1.17e-28	4.79e-08	5.231	2.759
NRF1	Cervix	2.25e-23	0.02	5.165	2.152
NRF1	Embryo	6.12e-25	1.16e-09	0.59	0.384
NRF1	Liver	4.13e-35	0.0018	3.268	0.789
NRF1	MammaryGland	2.45e-33	2.25e-05	3.383	0.582
OTX2	Embryo	1.87e-258	1.51e-16	5.442	2.767
PAX3	Muscle	1.41e-09	0.848	3.206	0.703
PAX5	Blood	2.53e-77	9.35e-17	4.736	4.194
PBX1	MammaryGland	0.000152	0.182	3.021	1.37
PBX2	BoneMarrow	1.44e-166	0.0104	6.334	3.084
PBX3	Blood	2.59e-30	9.38e-10	4.44	3.586
PBX3	Brain	1.22e-38	0.000397	4.861	4.39
PBX3	Liver	4.45e-21	0.0571	4.577	5.933
PBX3	Lung	3.41e-10	0.0302	9.497	5.159
PDX1	Embryo	2.84e-103	8.66e-06	3.862	2.84
PKNOX1	BoneMarrow	2.57e-76	0.000551	3.846	3.807
POU2F2	Blood	1.37e-71	2.53e-05	7.276	3.347
POU5F1	Embryo	1.38e-94	6.26e-07	5.443	2.777
POU5F1	Skin	1.13e-31	0.00562	3.335	2.118
PPARG	Adipose	6.25e-215	0.227	3.244	0.97
PPARG	Blood	2.53e-13	0.0328	7.513	4.933
PRDM14	Embryo	1.72e-19	0.0145	2.493	1.285
PRDM1	Cervix	5.72e-31	0.0689	6.516	1.961
RARA	Blood	5.97e-28	6.18e-06	9.04	6.487
RARA	BoneMarrow	1.64e-71	1.52e-07	10.814	9.586
RARA	Breast	2.36e-115	2.6e-10	9.376	8.386
RBPJ	Blood	1.98e-122	1.45e-23	6.608	5.012
RELA	Blood	8.02e-189	4.7e-42	4.741	3.751
RELA	BoneMarrow	3.79e-15	0.0342	7.31	7.286
RELA	Breast	3.4e-50	0.00566	3.883	1.227
RELA	Cervix	9.12e-57	0.534	4.588	0.339
RELA	Colon	9.77e-32	1e-07	4.826	4.964
RELA	Liver	1.47e-30	0.0651	4.173	2.632
RELA	Lung	5.88e-169	1.45e-12	4.184	1.801
RELA	Prostate	3.11e-55	0.00992	3.381	2.57
RELA	UmbilicalVein	4.89e-94	4.48e-08	5.856	3.482
REST	AdrenalGland	3.34e-14	0.278	3.415	0.138
REST	Blood	4.77e-13	3.21e-05	0.042	0.021
REST	BoneMarrow	3.27e-16	0.155	1.517	0.163
REST	Brain	1.17e-12	0.171	0.102	0.021
REST	Breast	4.56e-09	0.505	1.631	0.004
REST	Cervix	1.23e-10	0.276	1.712	0.434
REST	Colon	2.86e-14	7.18e-05	2.616	1.381
REST	Embryo	7.96e-08	0.0687	0.106	0.009
REST	Liver	5.43e-16	0.245	2.648	0.476
REST	Lung	6.13e-12	0.0721	2.511	1.396
REST	Pancreas	2.8e-13	0.311	0.115	0.008
RFX1	BoneMarrow	4.78e-82	8.44e-05	0.141	0.216
RFX1	Breast	5.64e-77	1.67e-07	5.334	4.844
RFX1	Colon	7.86e-06	0.0306	0.272	0.252
RFX2	Colon	1.2e-13	0.00445	8.433	7.944
RFX5	Blood	1.36e-12	0.00106	6.509	5.647
RFX5	Brain	8.32e-25	4.27e-05	5.43	4.025
RFX5	Cervix	1.84e-25	0.503	5.5	1.504
RFX5	Embryo	4.5e-12	0.00565	3.237	1.497
RFX5	Liver	1.13e-16	0.166	3.653	2.085
RFX5	Lung	1.4e-11	0.0157	4.025	2.587
RUNX1	Blood	1.74e-297	9.74e-75	7.141	5.574
RUNX1	BoneMarrow	1.06e-276	2.01e-15	6.484	3.09
RUNX1	Breast	1.04e-21	0.0034	8.551	5.7
RUNX1	Cordblood	9.08e-125	4.68e-08	7.113	4.052
RUNX1	Kidney	2.56e-170	2.63e-23	9.267	9.86
RUNX1	Prostate	1.28e-16	0.0068	4.941	3.315
RUNX2	Prostate	3.07e-171	1.73e-10	3.798	3.752
RXRA	Blood	2.24e-06	0.00855	0.961	0.95
RXRA	Brain	1.81e-47	6.87e-13	8.317	6.993
