tf	tissue	model	path
CTCF	PulmonaryArtery	CTCF_PulmonaryArtery	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_PulmonaryArtery/CTCF_PulmonaryArtery_2024-07-26.logistic.rds
CTCF	Retina	CTCF_Retina	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Retina/CTCF_Retina_2024-07-26.logistic.rds
CTCF	SigmoidColon	CTCF_SigmoidColon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_SigmoidColon/CTCF_SigmoidColon_2024-07-26.logistic.rds
CTCF	SkeletalMuscle	CTCF_SkeletalMuscle	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_SkeletalMuscle/CTCF_SkeletalMuscle_2024-07-26.logistic.rds
CTCF	SpinalCord	CTCF_SpinalCord	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_SpinalCord/CTCF_SpinalCord_2024-07-26.logistic.rds
CTCF	Spleen	CTCF_Spleen	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Spleen/CTCF_Spleen_2024-07-26.logistic.rds
CTCF	Stomach	CTCF_Stomach	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCF_Stomach/CTCF_Stomach_2024-07-26.logistic.rds
CTCFL	BoneMarrow	CTCFL_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCFL_BoneMarrow/CTCFL_BoneMarrow_2024-07-26.logistic.rds
CTCFL	Breast	CTCFL_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCFL_Breast/CTCFL_Breast_2024-07-26.logistic.rds
CTCFL	Colon	CTCFL_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CTCFL_Colon/CTCFL_Colon_2024-07-26.logistic.rds
CUX1	Blood	CUX1_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CUX1_Blood/CUX1_Blood_2024-07-26.logistic.rds
CUX1	BoneMarrow	CUX1_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CUX1_BoneMarrow/CUX1_BoneMarrow_2024-07-26.logistic.rds
CUX1	Breast	CUX1_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/CUX1_Breast/CUX1_Breast_2024-07-26.logistic.rds
DLX1	Colon	DLX1_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/DLX1_Colon/DLX1_Colon_2024-07-26.logistic.rds
DMC1	Testis	DMC1_Testis	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/DMC1_Testis/DMC1_Testis_2024-07-26.logistic.rds
